OpportunityID	PartyID	EmployeeID	SourceID	AdTypeID	StageID	StatusID	CategoryID	InterestedProduct	ExpectedValue	Location	FirstContactDate	NextFollowUpDate	LastContactDate	LostReasonID	LostNotes	Notes	Guidance	QuotationID	TransactionID	IsActive	CreatedBy	CreatedAt	LastUpdatedBy	LastUpdatedAt
114	173	21	2		1	1	4	ركنة			12/26/2025	12/27/2025				لسه بتاخد فكرة				-1	mmagdy	12/26/2025 7:54:08 PM		
115	174	21	2		4	1	3	انترية			12/26/2025			1	السعر عالى عليها	السعر عالى عليها				-1	mmagdy	12/26/2025 7:55:40 PM		
116	175	21	2	5	1	1	1	غرفة نوم بدون دولاب			12/26/2025	12/27/2025				تم الصور و في انتظار رد العميلة هتزور الفرع				-1	mmagdy	12/26/2025 7:59:11 PM		
117	176	21	2	5	4	1	9	شلت			12/26/2025			6	العميلة محتاجة تنجيد شلت	العميلة محتاجة تنجيد شلت				-1	mmagdy	12/26/2025 8:01:07 PM		
118	177	21	2	5	1	1	9				12/26/2025	12/27/2025				بتسأل على الأسعار				-1	mmagdy	12/26/2025 8:02:32 PM		
119	178	21	2	4	4	1	9				12/26/2025			1	السعر عالى عليها	السعر عالى عليها				-1	mmagdy	12/26/2025 8:05:30 PM		
120	179	21	2	5	1	1	9				12/26/2025	12/27/2025				تم الارسال على الواتس و تم الاتصال كنسلت في انتظار ردها				-1	mmagdy	12/26/2025 8:06:46 PM		
121	180	21	2	4	1	1	9				12/26/2025	12/27/2025				تم الاتصال بالعميل و قال نكلمة يوم الاحد				-1	mmagdy	12/26/2025 8:08:12 PM		
122	181	21	2		4	1	9				12/26/2025			1	الأسعار عالية عليه	الأسعار عالية عليه				-1	mmagdy	12/26/2025 8:09:13 PM		
123	182	21	2	5	1	1	9	ركنة			12/26/2025	12/27/2025				سأل عن الأسعار				-1	mmagdy	12/26/2025 8:12:22 PM		
124	183	21	5	5	4	1	3	انترية			12/26/2025			1	الأسعار عالية عليها	الأسعار عالية عليها				-1	mmagdy	12/26/2025 8:13:42 PM		
125	184	21	2	4	1	1	4	ركنة			12/26/2025	12/27/2025				تم الارسال و في انتظار رد العميل				-1	mmagdy	12/26/2025 8:15:26 PM		
126	185	21	2	4	1	1	9				12/26/2025	12/27/2025				تم الارسال و تم الاتصال لم يتم الرد في انتظار رد العميل				-1	mmagdy	12/26/2025 8:17:09 PM		
127	186	21	2	4	4	1	4	ركنة			12/26/2025			1	الأسعار عالية عليها	الأسعار عالية عليها				-1	mmagdy	12/26/2025 8:18:52 PM		
130	189	17	1	6	1	1					12/26/2025	12/28/2025				محتاجه تنفذ سفره customization				-1	aly	12/27/2025 2:23:42 PM		
128	187	17	1	2	1	1					12/27/2025	12/28/2025				محتاج 2فوتيه استلام فورى				-1	aly	12/27/2025 12:13:05 PM		
129	188	17	1	6	1	1					12/27/2025	12/28/2025				محتاج فرش شقه				-1	aly	12/27/2025 12:52:58 PM		
131	190	17	1	6	1	1					12/27/2025	12/28/2025				معرفه متوسط الأسعار				-1	aly	12/27/2025 2:26:59 PM		
132	191	17	1	6	1	1	1	نوم palace			12/27/2025	12/28/2025				تسعير نوم ماستر+نوم أطفال+ليفنج				-1	aly	12/27/2025 2:31:04 PM		
133	192	17	1	6	1	1					12/27/2025	12/28/2025				زياره الى الفرع				-1	aly	12/27/2025 2:32:39 PM		
134	193	17	1	6	1	1					12/27/2025	12/28/2025				محتاج ركنه سرير				-1	aly	12/27/2025 2:36:11 PM		
135	194	17	1	6	1	1					12/27/2025	12/28/2025				متوسط الأسعار				-1	aly	12/27/2025 2:38:53 PM		
136	195	17	1	6	1	1					12/27/2025	12/28/2025				بيستفسر عن طبيعه العمل وتم ارسال اللوكيشن				-1	aly	12/27/2025 2:40:22 PM		
155	218	17	1	6	1	1					12/27/2025	12/29/2025				لا يوجد اى سؤال واضح				-1	aly	12/28/2025 7:40:32 PM		
157	221	17	1	6	1	1					12/27/2025	12/29/2025				محتاج سعر الركنه (نفس الركنه اللى ف التصوير)				-1	aly	12/28/2025 8:15:04 PM		
158	222	17	1	6	1	1					12/27/2025	12/29/2025				لوكيشن المعرض				-1	aly	12/28/2025 8:17:25 PM		
159	223	17	1	6	1	1					12/27/2025	12/29/2025				متوسط الأسعار				-1	aly	12/28/2025 8:22:53 PM		
160	224	17	1	6	1	1					12/27/2025	12/29/2025								-1	aly	12/28/2025 8:24:42 PM		
162	226	17	1	6	1	1					12/27/2025	12/29/2025				how to order custom furniture				-1	aly	12/28/2025 8:28:10 PM		
163	227	17	1	6	1	1					12/27/2025	12/29/2025				محتاج سعر ركنه كالما				-1	aly	12/28/2025 8:29:14 PM		
164	228	17	1	6	1	1					12/27/2025	12/29/2025				كنبه customad				-1	aly	12/28/2025 8:31:33 PM		
166	230	17	1	6	1	1					12/27/2025	12/29/2025				العنوان				-1	aly	12/28/2025 8:34:22 PM		
167	231	17	1	6	1	1					12/27/2025	12/29/2025				how to order custom furniture				-1	aly	12/28/2025 8:35:42 PM		
169	233	17	1	6	1	1					12/27/2025	12/29/2025				كاتلوج غرف الماستر والاسعار				-1	aly	12/28/2025 8:38:55 PM		
137	197	21	2	5	4	1	3	انترية			12/28/2025			6	العميلة محتاجة تنجد طقم عندها	العميلة محتاجة تنجد طقم عندها				-1	mmagdy	12/28/2025 11:53:03 AM		
138	198	21	2	5	4	1					12/28/2025			6	العميلة محتاجة تنجد طقم عندها	العميلة محتاجة تنجد طقم عندها				-1	mmagdy	12/28/2025 11:54:19 AM		
139	199	21	2	4	1	1					12/28/2025	12/29/2025				العميلة سألت على الأسعار و العنوان و تم الارسال على الواتس				-1	mmagdy	12/28/2025 11:56:12 AM		
140	200	21	1	2	1	1	2	سفرة لوتس			12/28/2025	12/29/2025				تم الارسال للعميلة على الواتس و في انتظار رد العميلة				-1	mmagdy	12/28/2025 11:58:20 AM		
141	201	21	5	5	4	1	9				12/28/2025			6	العميل محتاج ينجد فقط	العميل محتاج ينجد فقط				-1	mmagdy	12/28/2025 11:59:51 AM		
142	202	21	2	4	2	1	4	ركنة			12/28/2025	12/29/2025				العميل محتاج ركنة بميكانيزم تم ارسال الكتالوج لاختيار المنتج او هو هيرشح منتج خاص				-1	mmagdy	12/28/2025 12:01:59 PM		
143	203	21	5	5	1	1	9				12/28/2025	12/29/2025				تم الارسال للعميلة  و تم ارسال اللوكيشن لزيارة الفرع				-1	mmagdy	12/28/2025 12:03:15 PM		
144	204	21	2	5	4	1	9				12/28/2025			6	العميلة محتاجه تنجد فقط	العميلة محتاجه تنجد فقط				-1	mmagdy	12/28/2025 12:04:32 PM		
145	205	21	5	5	4	1	9				12/28/2025			6	العميلة محتاجه تنجد فقط	العميلة محتاجه تنجد فقط				-1	mmagdy	12/28/2025 12:05:25 PM		
146	206	21	5	4	1	1	9				12/28/2025	12/29/2025				تم الارسال للعميل لاختيار من الكتالوجات او موديلات خاصة				-1	mmagdy	12/28/2025 12:06:39 PM		
147	207	21	2	5	4	1	9				12/28/2025			6	محتاج تنجيد فقط	محتاج تنجيد فقط				-1	mmagdy	12/28/2025 12:07:33 PM		
148	208	21	2	5	4	1					12/28/2025			6	محتاج تنجيد فقط	محتاج تنجيد فقط				-1	mmagdy	12/28/2025 12:08:35 PM		
